ID,Field,Temperature,Weight,Length,date,time,order,Density,PatchNum,CumDist_Below_30_sec,CumDist_Below_60_sec,CumDist_Below_90_sec,CumDist_Below_120_sec,CumDist_Below_180_sec,CumDist_Below_240_sec,CumDist_Below_300_sec,CumTotalDist,TimeToGlassCutoff,ReachGlass,Azimuth,StartDoEnd,StartToFurthest,Straightness
1,0,27.2,6.27,65,28/05/2024,12:43:00,4,1,1,51.985,51.985,51.985,51.985,51.985,51.985,51.985,51.985,9.04,Yes,294.0738861,80.99080948,80.99080948,0.250679572
1,1,25.4,6.27,65,28/05/2024,12:22:00,2,1,1,56.906,56.906,56.906,56.906,56.906,56.906,56.906,56.906,9,Yes,148.4604463,16.88850511,26.73384181,0.238875603
2,0,31.9,4.52,49,28/05/2024,13:26:00,8,1,1,22.836,42.86,61.568,86.627,119.225,119.225,119.225,119.225,145,No,273.9099838,33.03351507,33.03351507,0.112964059
2,1,28.3,4.52,49,28/05/2024,13:06:00,6,1,1,33.503,69.627,105.439,162.697,204.464,204.464,204.464,204.464,145,Yes,294.0726193,57.69473984,62.94757925,0.172791511
3,0,24.7,3.4,44,28/05/2024,12:57:00,5,1,1,43.755,118.246,133.989,133.989,133.989,133.989,133.989,133.989,69,Yes,235.588439,61.44595907,79.93686437,0.134569304
3,1,26.2,3.4,44,28/05/2024,13:17:00,7,1,1,67.049,152.487,173.397,173.397,173.397,173.397,173.397,173.397,69.16,Yes,289.6111104,99.94867926,101.2585497,0.221746975
4,0,27.8,3.9,53,28/05/2024,12:12:00,1,1,1,9.96,11.06,11.06,11.06,11.06,11.06,11.06,11.06,31,Yes,266.4460796,63.90112612,66.86234207,0.208519881
4,1,30.8,3.9,53,28/05/2024,12:31:00,3,1,1,92.362,94.439,94.439,94.439,94.439,94.439,94.439,94.439,31,Yes,353.0639328,6.867391751,9.917473976,0.060567556
6,0,25.8,3.37,65,29/05/2024,10:03:00,1,1,1,25.844,94.541,142.626,142.626,142.626,142.626,142.626,142.626,79,Yes,186.1049388,10.33709543,19.24749539,0.051671009
6,1,30,3.37,65,29/05/2024,10:27:00,2,1,1,26.799,78.287,110.478,110.478,110.478,110.478,110.478,110.478,79,Yes,316.5367561,68.77968559,80.51067816,0.310796994
7,0,28.4,5.61,72,29/05/2024,11:45:00,5,1,1,17.088,44.604,44.604,44.604,44.604,44.604,44.604,44.604,38,Yes,295.5629001,94.36118973,94.36118973,0.257421479
7,1,25.6,5.61,72,29/05/2024,11:27:00,3,1,1,71.286,86.224,86.224,86.224,86.224,86.224,86.224,86.224,36,Yes,275.9468847,88.73511353,88.73511353,0.578101512
8,0,26.8,2.9,27,29/05/2024,11:36:00,4,1,1,20.19,60.167,83.921,83.921,83.921,83.921,83.921,83.921,75,Yes,350.9839493,10.61081878,14.25789863,0.119480439
8,1,30,2.9,27,29/05/2024,11:55:00,6,1,1,60.45,101.471,131.68,131.68,131.68,131.68,131.68,131.68,75,Yes,21.10393128,19.34442304,31.4534406,0.088981196
9,0,30.7,5.19,53,29/05/2024,12:56:00,9,1,1,53.095,53.095,53.095,53.095,53.095,53.095,53.095,53.095,19,No,121.2969651,54.12316675,54.4310213,1.019364662
9,1,27.7,5.19,53,29/05/2024,12:39:00,7,1,1,101.838,125.187,125.187,125.187,125.187,125.187,125.187,125.187,37,Yes,338.1197953,37.56288606,46.28927371,0.253236923
10,0,29,5.85,72,29/05/2024,12:48:00,8,1,1,63.866,100.55,145.788,184.13,184.13,184.13,184.13,184.13,101,Yes,328.7455249,47.67275254,48.53667519,0.249416662
10,1,32,5.85,72,29/05/2024,13:06:00,10,1,1,71.22,104.252,155.686,188.568,188.568,188.568,188.568,188.568,102,Yes,297.4396226,68.25786257,68.25786257,0.148967306
11,0,29.2,3.43,62,29/05/2024,14:25:00,12,1,1,33.735,84.568,93.709,93.709,93.709,93.709,93.709,93.709,63.88,Yes,159.961769,17.45535582,46.00341314,0.144048424
11,1,26.5,3.43,62,29/05/2024,14:07:00,11,1,1,105.668,166.227,175.95,175.95,175.95,175.95,175.95,175.95,63,Yes,18.00982548,23.44261874,34.39520967,0.064237792
12,0,27.4,4.03,43,29/05/2024,14:25:00,13,1,1,28.381,63.702,110.46,145.674,191.753,300.207,300.207,300.207,234,Yes,307.5921736,65.92821445,65.92821445,0.133190734
12,1,30.4,4.03,43,29/05/2024,14:33:00,14,1,1,45.124,89.324,116.675,156.481,330.059,457.943,457.943,457.943,234,Yes,250.7205514,89.54509867,92.44477265,0.17451613
14,0,32.4,3.57,66,09/06/2024,13:05:00,2,2,2,27.014,76.404,125.756,125.756,125.756,125.756,125.756,125.756,87,Yes,209.0798369,42.29148989,42.29148989,0.245967988
14,1,29.4,3.57,66,09/06/2024,13:22:00,4,2,2,24.521,26.104,26.104,26.104,26.104,26.104,26.104,26.104,32,No,324.3533764,13.12422996,15.10559964,0
15,0,35.1,3,34,09/06/2024,13:53:00,7,2,2,20.938,70.322,71.589,71.589,71.589,71.589,71.589,71.589,67.16,No,210.1202435,28.46918769,28.46918769,0.397675449
15,1,33.5,3,34,09/06/2024,13:34:00,5,2,2,7.998,66.022,170.285,237.32,470.24,591.647,642.975,726.566,360,No,328.436922,24.82439037,27.76375203,0.034166738
16,0,34.2,3.81,64,09/06/2024,13:44:00,6,2,2,40.272,83.225,141.428,153.135,153.135,153.135,153.135,153.135,98,Yes,190.0889369,10.78312486,30.9713356,0.030439738
16,1,35.9,3.81,64,09/06/2024,14:04:00,8,2,2,26.281,69.151,94.439,98.913,98.913,98.913,98.913,98.913,98,Yes,158.585959,26.77310293,26.89722978,0.24446527
18,0,25.6,4.63,54,10/06/2024,09:30:00,2,2,2,54.923,61.95,61.95,61.95,61.95,61.95,61.95,61.95,34,Yes,161.4713304,25.83561468,25.83561468,0.119968678
18,1,29.3,4.63,54,10/06/2024,09:50:00,4,2,2,5.085,64.141,64.141,64.141,64.141,64.141,64.141,64.141,33,Yes,16.21028057,27.56870313,27.56870313,0.360832731
19,0,31.6,3.08,56,10/06/2024,10:21:00,7,2,2,33.005,33.005,33.005,33.005,33.005,33.005,33.005,33.005,11,Yes,35.07274332,43.88081135,43.88081135,0.42659056
19,1,30.3,3.08,56,10/06/2024,10:05:00,5,2,2,49.792,49.792,49.792,49.792,49.792,49.792,49.792,49.792,11,Yes,188.0315798,8.8391013,8.8391013,0.139671349
20,0,30.7,3.4,50,10/06/2024,10:13:00,6,2,2,46.526,56.768,56.768,56.768,56.768,56.768,56.768,56.768,39,Yes,319.1216844,48.64995234,49.20862459,0.691099543
20,1,32.6,3.4,50,10/06/2024,10:30:00,8,2,2,8.722,16.616,16.616,16.616,16.616,16.616,16.616,16.616,39,Yes,344.2979211,20.69019924,20.69019924,0.072084254
23,0,34,NA,NA,10/06/2024,12:14:00,13,2,3,28.436,48.151,48.151,48.151,48.151,48.151,48.151,48.151,37.44,Yes,259.5394554,76.43599421,76.43599421,0.955545482
23,1,31.2,NA,NA,10/06/2024,11:57:00,11,2,3,77.022,94.954,94.954,94.954,94.954,94.954,94.954,94.954,37,Yes,36.34633312,27.2344376,31.07315853,0.257857918
24,0,32.3,NA,NA,10/06/2024,12:06:00,12,2,3,33.47,50.448,70.058,81.689,89.039,89.039,89.039,89.039,138.64,Yes,190.3151695,11.24699041,20.30236058,0.037832351
24,1,34.5,NA,NA,10/06/2024,12:23:00,14,2,3,35.431,61.346,99.989,127.263,148.759,148.759,148.759,148.759,143,Yes,270.4755672,94.19727803,95.15933067,0.413508683
25,0,36,NA,NA,10/06/2024,12:59:00,17,2,3,70.329,104.571,104.571,104.571,104.571,104.571,104.571,104.571,50,Yes,311.2030322,43.80716341,47.6503908,0.381592176
25,1,34.8,NA,NA,10/06/2024,12:38:00,15,2,3,56.119,86.536,86.536,86.536,86.536,86.536,86.536,86.536,50,Yes,187.8772529,11.19767887,48.33080818,0.019184521
26,0,35.3,NA,NA,10/06/2024,12:48:00,16,2,3,29.048,53.436,72.853,96.079,98.876,98.876,98.876,98.876,122,No,NA,1.208588807,14.0007919,0
26,1,36.5,NA,NA,10/06/2024,13:15:00,18,2,3,17.755,93.817,119.039,142.566,143.881,143.881,143.881,143.881,122,Yes,350.1449745,11.30990268,37.39468259,0.065852495
27,0,28.5,3.2,53,19/06/2024,10:07:00,3,2,3,21.911,90.553,121.44,180.462,268.814,268.814,268.814,268.814,172,No,64.10498431,39.56680366,39.56680366,0.147190264
27,1,25.8,3.2,53,19/06/2024,09:51:00,1,2,3,11.867,28.882,44.547,45.308,87.35,131.943,131.943,131.943,215,Yes,293.3839193,81.38273751,81.77793972,0.595896212
28,0,27.2,2.4,50,19/06/2024,09:59:00,2,2,3,30.853,77.465,109.634,120.505,120.505,120.505,120.505,120.505,105,Yes,249.9992147,100.4816057,101.243292,0.62980498
28,1,30,2.4,50,19/06/2024,10:19:00,4,2,3,19.329,38.512,80.939,113.158,122.405,122.405,122.405,122.405,129,Yes,231.6083882,63.0027284,63.0027284,0.448983619
29,0,33,3.4,50,19/06/2024,10:47:00,7,2,3,40.474,48.363,48.363,48.363,48.363,48.363,48.363,48.363,37,Yes,300.5502142,66.35977382,66.35977382,0.931116949
29,1,30.8,3.4,50,19/06/2024,10:27:00,5,2,3,28.824,32.99,32.99,32.99,32.99,32.99,32.99,32.99,37.48,Yes,23.26359021,31.20664724,31.20664724,0.181810301
30,0,32,4.4,55,19/06/2024,10:39:00,6,2,3,45.798,62.012,62.012,62.012,62.012,62.012,62.012,62.012,50.44,Yes,226.1694833,77.29575676,77.29575676,0.187797946
30,1,33.6,4.4,55,19/06/2024,10:55:00,8,2,3,45.736,84.184,84.184,84.184,84.184,84.184,84.184,84.184,50,Yes,47.01427954,47.8449669,47.8449669,0.459455768
31,0,31.4,3.8,53,19/06/2024,11:57:00,11,2,3,13.906,34.029,80.615,100.031,100.031,100.031,100.031,100.031,102,Yes,265.3466279,79.14712666,79.40213647,0.188479197
31,1,29.1,3.8,53,19/06/2024,11:41:00,9,2,3,22.391,61.027,85.344,92.872,92.872,92.872,92.872,92.872,102,Yes,350.086014,14.10644401,14.10644401,0.112438677
33,0,34.4,5,76,19/06/2024,12:52:00,15,2,3,0,0,0,16.272,86.325,207.004,238.546,238.546,253,Yes,88.19148818,71.62219199,74.56697682,0.189151438
33,1,32.2,5,76,19/06/2024,12:34:00,13,2,3,29.93,61.837,92.809,114.232,190.384,279.636,297.206,297.206,253.04,No,NA,8.181487861,9.993744812,0
34,0,33.1,2.2,42,19/06/2024,12:43:00,14,2,3,11.063,11.063,11.063,11.063,11.063,11.063,11.063,11.063,15,No,NA,15.0660718,24.58050089,0
34,1,35.3,2.2,42,19/06/2024,13:03:00,16,2,3,17.192,17.192,17.192,17.192,17.192,17.192,17.192,17.192,15,Yes,8.609485433,5.429689454,5.429689454,0.167836835
35,0,32.4,2.1,37,19/06/2024,14:39:00,19,2,3,20.447,45.148,74.428,97.747,151.109,171.335,216.534,246.767,360,No,262.0307256,81.94075462,81.94075462,0.332057182
35,1,29.8,2.1,37,19/06/2024,14:23:00,17,2,3,40.021,60.189,87.328,112.238,154.876,243.971,317.169,339.957,326,No,NA,4.303325141,14.94847444,0
37,0,23.4,4.7,79,20/06/2024,09:31:00,3,2,3,16.452,20.924,20.924,20.924,20.924,20.924,20.924,20.924,36,Yes,199.9188033,24.65740387,24.65740387,0.135106841
37,1,21,4.7,79,20/06/2024,09:14:00,1,2,3,43.28,54.362,54.362,54.362,54.362,54.362,54.362,54.362,36,Yes,151.7501454,30.92207201,30.92207201,0.473255973
38,0,22.2,5.3,89,20/06/2024,09:23:00,2,2,3,29.189,61.184,94.56,118.675,118.675,118.675,118.675,118.675,112,Yes,286.1757867,78.29557984,78.45134503,0.569484524
38,1,25,5.3,89,20/06/2024,09:39:00,4,2,3,36.996,129.453,161.093,189.999,189.999,189.999,189.999,189.999,112,Yes,345.4509599,19.91040753,30.89995867,0.029792307
39,0,30.1,2.9,49,20/06/2024,10:09:00,7,2,3,61.256,99.897,132.804,135.728,135.728,135.728,135.728,135.728,91,Yes,290.6085499,79.892959,81.56740591,0.271041342
39,1,26.6,2.9,49,20/06/2024,09:50:00,5,2,3,43.191,58.221,69.514,69.74,69.74,69.74,69.74,69.74,91,Yes,152.57848,39.93950648,40.53715657,0.118969553
40,0,28,2.5,61,20/06/2024,09:59:00,6,2,3,19.794,37.518,51.992,79.083,122.73,148.186,170.789,192.321,360,No,152.1649934,14.81303771,16.27505574,0.077022466
40,1,32.5,2.5,61,20/06/2024,10:18:00,8,2,3,76.027,133.519,148.121,243.346,287.051,326.537,376.94,423.323,353.28,No,356.7554013,2.740324543,28.90473946,0.006473366
41,0,34,2.1,36,20/06/2024,11:49:00,11,2,3,18.254,35.007,43.305,51.172,71.189,91.215,109.944,126.65,360,No,NA,2.476432615,3.368956781,0
41,1,31,2.1,36,20/06/2024,11:32:00,9,2,3,51.785,87.861,108.14,129.028,171.833,245.242,328.689,421.113,360,No,206.9591889,19.361307,23.39604984,0.045976512
42,0,33,5.8,71,20/06/2024,11:41:00,10,2,3,24.566,48.67,64.323,83.028,118.614,145.091,175.137,203.826,360,No,NA,4.988830388,6.282094258,0
42,1,35,5.8,71,20/06/2024,11:58:00,12,2,3,26.684,51.387,82.841,101.625,115.509,115.509,141.987,194.83,360,No,NA,9.801877603,46.13897256,0
